선수명,등번호,생년월일,포지션,신장/체중,경력,입단 계약금,연봉,지명순위,입단년도,Team,days,출신초등학교
김유영,No.0,1994년 05월 02일,투수(좌투좌타),180cm/83kg,양정초-개성중-경남고-롯데-상무-롯데,20000만원,10500만원,14 롯데 1차,14롯데,LG 트윈스,11574,양정초
김의준,No.115,1999년 10월 16일,투수(우투우타),183cm/80kg,학강초-광주동성중-광주동성고,5000만원,3100만원,18 LG 2차 6라운드 57순위,,LG 트윈스,9581,학강초
김종운,No.122,2006년 09월 11일,투수(우투우타),186cm/85kg,국산초(거제시리틀)-동강중-창원공고야구단,5000만원,3000만원,25 LG 7라운드 70순위,,LG 트윈스,7059,국산초
김주성,No.5,1998년 01월 30일,내야수(우투우타),180cm/81kg,수원신곡초-덕수중-휘문고,10000만원,3500만원,16 LG 2차 2라운드 14순위,16LG,LG 트윈스,10205,수원신곡초
김주온,No.57,1996년 12월 08일,투수(우투우타),187cm/89kg,울산대현초-구미중-울산공고-SK-SSG,5000만원,3000만원,15 삼성 2차 7라운드 72순위,20SK,LG 트윈스,10623,울산대현초
김지용,No.120,2002년 10월 07일,투수(좌투좌타),180cm/75kg,구리초(구리리틀)-구리인창중-라온고,4000만원,3000만원,21 LG 2차 6라운드 57순위,,LG 트윈스,8494,구리초
김진성,No.42,1985년 03월 07일,투수(우투우타),186cm/90kg,인헌초-성남중-성남서고-SK-NC,,33000만원,04 SK 2차 6라운드 42순위,05SK,LG 트윈스,14917,인헌초
김진수,No.45,1998년 08월 31일,투수(우투우타),179cm/82kg,이세초-군산중-군산상고-중앙대,10000만원,3600만원,21 LG 2차 2라운드 17순위,21LG,LG 트윈스,9992,이세초
김현수,No.22,1988년 01월 12일,외야수(우투좌타),188cm/105kg,쌍문초-신일중-신일고-두산-볼티모어-필라델피아,,50000만원,06 두산 육성선수,06두산,LG 트윈스,13876,쌍문초
김현종,No.66,2004년 08월 04일,외야수(우투우타),186cm/85kg,상인천초-동인천중-인천고,15000만원,3200만원,24 LG 2라운드 18순위,24LG,LG 트윈스,7827,상인천초
김형욱,No.102,2002년 01월 29일,투수(우투우타),187cm/90kg,동일중앙초-부산중-부산고,6000만원,3000만원,21 LG 2차 5라운드 47순위,,LG 트윈스,8745,동일중앙초
문보경,No.2,2000년 07월 19일,내야수(우투좌타),182cm/88kg,송중초(동대문구리틀)-덕수중-신일고,8000만원,41000만원,19 LG 2차 3라운드 25순위,21LG,LG 트윈스,9304,송중초
문성주,No.8,1997년 02월 20일,외야수(좌투좌타),175cm/78kg,포항서초-포항제철중-경북고-강릉영동대,3000만원,18000만원,18 LG 2차 10라운드 97순위,18LG,LG 트윈스,10549,포항서초
문정빈,No.53,2003년 08월 15일,내야수(우투우타),186cm/90kg,가동초-잠신중-서울고,4000만원,3100만원,22 LG 2차 8라운드 77순위,25LG,LG 트윈스,8182,가동초
박건우,No.123,1998년 10월 19일,내야수(우투좌타),180cm/85kg,송정동초-광주동성중-광주동성고-단국대,,3000만원,24 LG 육성선수,,LG 트윈스,9943,송정동초
박관우,No.64,2006년 03월 22일,외야수(좌투좌타),174cm/82kg,욱수초(경산시리틀)-경운중-경북고,7000만원,3000만원,25 LG 5라운드 50순위,25LG,LG 트윈스,7232,욱수초
박동원,No.27,1990년 04월 07일,포수(우투우타),178cm/92kg,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA,6000만원,120000만원,09 히어로즈 2차 3라운드 19순위,09히어로즈,LG 트윈스,13060,양정초
박명근,No.39,2004년 03월 27일,투수(우언우타),174cm/75kg,수택초(구리리틀)-구리인창중-라온고,11000만원,6000만원,23 LG 3라운드 27순위,23LG,LG 트윈스,7957,수택초
박민호,No.106,1998년 04월 06일,포수(우투우타),177cm/80kg,본리초-경상중-대구상원고-경남대,3000만원,3000만원,21 LG 2차 10라운드 97순위,,LG 트윈스,10139,본리초
박시원,No.121,2006년 04월 12일,투수(우투우타),193cm/93kg,송수초(해운대리틀)-센텀중-경남고,6000만원,3000만원,25 LG 6라운드 60순위,,LG 트윈스,7211,송수초
박해민,No.17,1990년 02월 24일,외야수(우투좌타),180cm/75kg,영중초-양천중-신일고-한양대-삼성,,60000만원,12 삼성 육성선수,12삼성,LG 트윈스,13102,영중초
배재준,No.25,1994년 11월 24일,투수(우투우타),188cm/85kg,본리초-경상중-대구상원고,10000만원,4500만원,13 LG 2라운드 16순위,16LG,LG 트윈스,11368,본리초
백선기,No.114,1998년 08월 27일,투수(좌투좌타),186cm/70kg,남도초-경상중-대구상원고-KT,5000만원,3000만원,18 KT 2차 7라운드 61순위,,LG 트윈스,9996,남도초
백승현,No.61,1995년 05월 26일,투수(우투우타),183cm/90kg,소래초-상인천중-인천고,7000만원,7000만원,15 LG 2차 3라운드 30순위,17LG,LG 트윈스,11185,소래초
서영준,No.60,2006년 03월 18일,외야수(우투우타),186cm/90kg,화정초-진흥중-전주고,7000만원,3000만원,25 LG 5라운드 44순위,25LG,LG 트윈스,7236,화정초
성동현,No.34,1999년 05월 18일,투수(우투우타),189cm/108kg,백마초-홍은중-장충고,15000만원,3400만원,18 LG 2차 1라운드 7순위,18LG,LG 트윈스,9732,백마초
성준서,No.118,2006년 04월 09일,투수(우투우타),190cm/96kg,빛가온초(광명리틀)-평촌중-경기항공고,3000만원,3000만원,25 LG 11라운드 110순위,,LG 트윈스,7214,빛가온초
손용준,No.113,2000년 02월 15일,내야수(우투우타),178cm/85kg,김해화정초(김해리틀)-내동중-김해고-동원과학기술대,10000만원,3100만원,24 LG 3라운드 28순위,24LG,LG 트윈스,9459,김해화정초
손주영,No.29,1998년 12월 02일,투수(좌투좌타),191cm/95kg,울산대현초-개성중-경남고,15000만원,17200만원,17 LG 2차 1라운드 2순위,17LG,LG 트윈스,9899,울산대현초
송승기,No.13,2002년 04월 10일,투수(좌투좌타),181cm/90kg,삼일초-매향중-야탑고-LG-상무,3000만원,3600만원,21 LG 2차 9라운드 87순위,22LG,LG 트윈스,8674,삼일초
송찬의,No.14,1999년 02월 20일,외야수(우투우타),182cm/80kg,화곡초-선린중-선린인터넷고,5000만원,3500만원,18 LG 2차 7라운드 67순위,22LG,LG 트윈스,9819,화곡초
신민재,No.4,1996년 01월 21일,내야수(우투좌타),171cm/67kg,서흥초-동인천중-인천고,,20000만원,15 두산 육성선수,19LG,LG 트윈스,10945,서흥초
심규빈,No.108,2001년 03월 27일,외야수(우투좌타),181cm/81kg,잠전초(동대문구리틀)-언북중-서울고-성균관대,3000만원,3000만원,24 LG 11라운드 108순위,,LG 트윈스,9053,잠전초
심창민,No.28,1993년 02월 01일,투수(우언우타),185cm/86kg,동삼초-경남중-경남고-삼성-상무-삼성-NC,20000만원,8000만원,11 삼성 1라운드 4순위,11삼성,LG 트윈스,12029,동삼초
안시후,No.109,2006년 05월 02일,투수(우투우타),190cm/84kg,신곡초-안산중앙중-부천고,4000만원,3000만원,25 LG 9라운드 90순위,,LG 트윈스,7191,신곡초
안익훈,No.15,1996년 02월 12일,외야수(좌투좌타),176cm/76kg,대전신흥초-충남중-대전고,12000만원,5200만원,15 LG 2차 1라운드 7순위,15LG,LG 트윈스,10923,대전신흥초
에르난데스,No.30,1995년 05월 03일,투수(우투우타),185cm/97kg,베네수엘라 U.E.N Monsenor Perez Leon(고),,800000달러,24 LG 자유선발,24LG,LG 트윈스,11208,-
오스틴,No.23,1993년 10월 14일,내야수(우투우타),183cm/97kg,미국 Klein Collins(고),100000달러,1200000달러,23 LG 자유선발,23LG,LG 트윈스,11774,-
오지환,No.10,1990년 03월 12일,내야수(우투좌타),185cm/80kg,군산초-자양중-경기고,28000만원,30000만원,09 LG 1차,09LG,LG 트윈스,13086,군산초
우강훈,No.20,2002년 10월 03일,투수(우언우타),183cm/88kg,희망대초-매송중-야탑고-롯데,4000만원,3600만원,21 롯데 2차 5라운드 41순위,23롯데,LG 트윈스,8498,희망대초
우정안,No.110,2006년 01월 03일,내야수(우투좌타),181cm/79kg,의왕부곡초-서울이수중-덕수고,4000만원,3000만원,25 LG 8라운드 80순위,,LG 트윈스,7310,의왕부곡초
유영찬,No.54,1997년 03월 07일,투수(우투우타),185cm/90kg,덕성초(안산리틀)-배명중-배명고-건국대,,21000만원,20 LG 2차 5라운드 43순위,23LG,LG 트윈스,10534,덕성초
이믿음,No.105,2000년 07월 18일,투수(우투우타),188cm/80kg,노암초-경포중-강릉고-강릉영동대,7000만원,3000만원,21 LG 2차 4라운드 37순위,24LG,LG 트윈스,9305,노암초
이영빈,No.7,2002년 06월 17일,내야수(우투좌타),182cm/82kg,대전동산초(대전중구리틀)-충남중-세광고-LG-상무,13000만원,6000만원,21 LG 2차 1라운드 7순위,21LG,LG 트윈스,8606,대전동산초
이우찬,No.21,1992년 08월 04일,투수(좌투좌타),185cm/97kg,온양온천초-온양중-북일고-LG-경찰,11000만원,10000만원,11 LG 2라운드 15순위,11LG,LG 트윈스,12210,온양온천초
이정준,No.,1977년 06월 18일,(),cm/kg,한서고-LG,,,,,LG 트윈스,17736,-
이종준,No.40,2001년 03월 09일,투수(우투우타),191cm/93kg,군산중앙초-군산남중-군산상고,3000만원,4200만원,20 NC 2차 9라운드 81순위,24LG,LG 트윈스,9071,군산중앙초
이주헌,No.26,2003년 03월 04일,포수(우투우타),185cm/92kg,서울이수초-성남중-성남고,7000만원,3300만원,22 LG 2차 3라운드 27순위,22LG,LG 트윈스,8346,서울이수초
이지강,No.32,1999년 07월 02일,투수(우투우타),183cm/85kg,수원선일초-수원북중-소래고,3000만원,8300만원,19 LG 2차 9라운드 85순위,22LG,LG 트윈스,9687,수원선일초
이태훈,No.65,2006년 08월 21일,내야수(우투좌타),183cm/83kg,가동초-덕수중-경동고,8000만원,3000만원,25 LG 4라운드 40순위,25LG,LG 트윈스,7080,가동초
이한림,No.00,2006년 11월 18일,포수(우투우타),182cm/92kg,해남동초(해남군리틀)-화순중-전주고,11000만원,3000만원,25 LG 3라운드 30순위,25LG,LG 트윈스,6991,해남동초
임준형,No.59,2000년 11월 16일,투수(좌투좌타),180cm/87kg,광주서석초-진흥중-진흥고-LG-상무,4000만원,5500만원,19 LG 2차 8라운드 75순위,21LG,LG 트윈스,9184,광주서석초
임찬규,No.1,1992년 11월 20일,투수(우투우타),185cm/80kg,가동초-청원중-휘문고-LG-경찰,30000만원,20000만원,11 LG 1라운드 2순위,11LG,LG 트윈스,12102,가동초
장현식,No.50,1995년 02월 24일,투수(우투우타),181cm/91kg,신도초-서울이수중-서울고-NC-경찰-NC-KIA,15000만원,20000만원,13 NC 1라운드 9순위,13NC,LG 트윈스,11276,신도초
전경원,No.128,1999년 03월 18일,포수(우투우타),184cm/95kg,연현초-성남중-성남고-SK-상무-SSG,6000만원,3000만원,18 SK 2차 5라운드 45순위,18SK,LG 트윈스,9793,연현초
전준호,No.111,1998년 07월 01일,투수(우투우타),181cm/80kg,양도초-강남중-청원고,3000만원,3300만원,17 LG 2차 10라운드 92순위,19LG,LG 트윈스,10053,양도초
정우영,No.18,1999년 08월 19일,투수(우언우타),193cm/99kg,가평초-강남중-서울고,10000만원,18000만원,19 LG 2차 2라운드 15순위,19LG,LG 트윈스,9639,가평초
정지헌,No.49,2003년 01월 01일,투수(우언우타),180cm/85kg,동수원초(수원영통리틀)-매향중-유신고-고려대(얼리 드래프트),6000만원,3500만원,24 LG 6라운드 58순위,24LG,LG 트윈스,8408,동수원초
조건희,No.101,2002년 03월 26일,투수(좌투좌타),184cm/84kg,계상초(노원구리틀)-상명중-서울고,7000만원,3000만원,21 LG 2차 3라운드 27순위,21LG,LG 트윈스,8689,계상초
진우영,No.48,2001년 02월 05일,투수(우투우타),188cm/97kg,성동초-글로벌선진학교,,3400만원,24 LG 4라운드 38순위,24LG,LG 트윈스,9103,성동초
최승민,No.62,1996년 07월 01일,외야수(우투좌타),181cm/73kg,서울학동초-대치중-신일고-상무-NC,,4300만원,15 NC 육성선수,17상무,LG 트윈스,10783,서울학동초
최용하,No.112,2002년 11월 29일,투수(우언우타),183cm/84kg,응암초(서대문구리틀)-동도중-서울디자인고,10000만원,3000만원,22 LG 2차 2라운드 17순위,22LG,LG 트윈스,8441,응암초
최원영,No.3,2003년 07월 18일,외야수(우투우타),174cm/76kg,부산수영초-사직중-부산고,5000만원,4000만원,22 LG 2차 6라운드 57순위,24LG,LG 트윈스,8210,부산수영초
최채흥,No.56,1995년 01월 22일,투수(좌투좌타),186cm/97kg,동천초-포항중-대구상원고-한양대-삼성-상무-삼성,30000만원,13000만원,18 삼성 1차,18삼성,LG 트윈스,11309,동천초
추세현,No.63,2006년 04월 19일,투수(우투우타),187cm/90kg,성신초(서울중구리틀)-청량중-경기상고,15000만원,3000만원,25 LG 2라운드 20순위,25LG,LG 트윈스,7204,성신초
치리노스,No.46,1993년 12월 26일,투수(우투우타),188cm/102kg,베네수엘라 U.E.N heroes nigales(고),200000달러,800000달러,25 LG 자유선발,25LG,LG 트윈스,11701,-
하영진,No.119,2001년 02월 28일,투수(우투우타),182cm/80kg,안산상록초-원주중-원주고,6000만원,3000만원,20 LG 2차 6라운드 53순위,,LG 트윈스,9080,안산상록초
함덕주,No.11,1995년 01월 13일,투수(좌투좌타),181cm/78kg,일산초-원주중-원주고-두산,6000만원,20000만원,13 두산 5라운드 43순위,13두산,LG 트윈스,11318,일산초
함창건,No.24,2001년 08월 18일,외야수(좌투좌타),176cm/83kg,백운초-충암중-충암고,5000만원,3200만원,20 LG 2차 7라운드 63순위,24LG,LG 트윈스,8909,백운초
허용주,No.43,2003년 06월 05일,투수(우투우타),194cm/88kg,사파초-마산동중-용마고,5000만원,3000만원,23 LG 7라운드 67순위,25LG,LG 트윈스,8253,사파초
허준혁,No.58,1999년 07월 02일,투수(우투우타),180cm/85kg,가평초(가평군리틀)-영동중-경기고-한일장신대-LG-상무,6000만원,3300만원,22 LG 2차 5라운드 47순위,22LG,LG 트윈스,9687,가평초
홍창기,No.51,1993년 11월 21일,외야수(우투좌타),189cm/94kg,대일초-매송중-안산공고-건국대-LG-경찰,8000만원,65000만원,16 LG 2차 3라운드 27순위,16LG,LG 트윈스,11736,대일초
고명준,No.18,2002년 07월 08일,내야수(우투우타),185cm/94kg,서원초-세광중-세광고-SK,9000만원,8000만원,21 SK 2차 2라운드 18순위,21SK,SSG 랜더스,8585,서원초
김건우,No.39,2002년 07월 12일,투수(좌투좌타),185cm/88kg,가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무,20000만원,3000만원,21 SK 1차,21SK,SSG 랜더스,8581,가현초
김광현,No.29,1988년 07월 22일,투수(좌투좌타),188cm/88kg,덕성초(안산리틀)-안산중앙중-안산공고-SK-세인트루이스,50000만원,300000만원,07 SK 1차,07SK,SSG 랜더스,13684,덕성초
김규민,No.61,2002년 08월 23일,포수(우투좌타),180cm/94kg,동수원초(수원영통구리틀)-매향중-공주고-여주대,3000만원,3000만원,24 SSG 10라운드 100순위,,SSG 랜더스,8539,동수원초
김민,No.41,1999년 04월 14일,투수(우투우타),185cm/88kg,인천숭의초-평촌중-유신고-KT-상무-KT,30000만원,11000만원,18 KT 1차,18KT,SSG 랜더스,9766,인천숭의초
김민식,No.24,1989년 06월 28일,포수(우투좌타),180cm/80kg,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA,14000만원,25000만원,12 SK 2라운드 11순위,12SK,SSG 랜더스,13343,양덕초
김성민,No.56,2001년 04월 30일,내야수(우투우타),184cm/88kg,서울학동초-자양중-경기고-SK,10000만원,3000만원,20 SK 2차 2라운드 20순위,20SK,SSG 랜더스,9019,서울학동초
김성현,No.6,1987년 03월 09일,내야수(우투우타),172cm/72kg,송정동초-충장중-광주제일고-SK-상무-SK,7000만원,15000만원,06 SK 2차 3라운드 20순위,06SK,SSG 랜더스,14185,송정동초
김수윤,No.4,1998년 07월 16일,내야수(우투우타),180cm/83kg,김해삼성초-개성중-부산고-NC,4000만원,3200만원,17 NC 2차 7라운드 68순위,17NC,SSG 랜더스,10038,김해삼성초
김준영,No.03,2003년 11월 18일,투수(우투우타),178cm/83kg,변동초(대전중구리틀)-충남중-세광고,3000만원,3000만원,23 SSG 11라운드 105순위,,SSG 랜더스,8087,변동초
김찬형,No.5,1997년 12월 29일,내야수(우투우타),182cm/83kg,양정초-경남중-경남고-NC-SSG-상무,5000만원,3200만원,16 NC 2차 6라운드 53순위,16NC,SSG 랜더스,10237,양정초
김창평,No.64,2000년 06월 14일,외야수(우투좌타),185cm/85kg,학강초-무등중-광주제일고-SK,15000만원,3100만원,19 SK 2차 1라운드 6순위,19SK,SSG 랜더스,9339,학강초
김태윤,No.36,2003년 02월 28일,내야수(우투좌타),170cm/65kg,창우초(하남시리틀)-배명중-배명고,4000만원,3100만원,22 SSG 2차 7라운드 62순위,,SSG 랜더스,8350,창우초
김택형,No.43,1996년 10월 10일,투수(좌투좌타),185cm/90kg,창영초-재능중-동산고-히어로즈-SK-SSG-상무,10000만원,20500만원,15 넥센 2차 2라운드 18순위,15넥센,SSG 랜더스,10682,창영초
김현재,No.95,2006년 07월 03일,투수(좌투좌타),177cm/78kg,대전새여울초(대전유성리틀)-한밭중-대전고,5000만원,3000만원,25 SSG 7라운드 68순위,,SSG 랜더스,7129,대전새여울초
노경은,No.38,1984년 03월 11일,투수(우투우타),187cm/100kg,화곡초-성남중-성남고-두산-롯데,35000만원,40000만원,03 두산 1차,03두산,SSG 랜더스,15278,화곡초
도재현,No.02,2001년 03월 08일,투수(우투우타),193cm/103kg,오산대원초(오산리틀)-율곡중-율곡고-사이버한국외대,3000만원,3000만원,25 SSG 11라운드 108순위,,SSG 랜더스,9072,오산대원초
류효승,No.45,1996년 07월 16일,외야수(우투우타),190cm/100kg,칠성초-경상중-대구상원고-성균관대-SK,5000만원,3100만원,20 SK 2차 6라운드 60순위,20SK,SSG 랜더스,10768,칠성초
문승원,No.42,1989년 11월 28일,투수(우투우타),180cm/88kg,가동초-배명중-배명고-고려대-SK-상무-SK,18000만원,80000만원,12 SK 1라운드 8순위,12SK,SSG 랜더스,13190,가동초
박기호,No.66,2005년 07월 26일,투수(우투우타),184cm/80kg,샛별초(청주시리틀)-현도중-청주고,9000만원,3000만원,24 SSG 3라운드 30순위,24SSG,SSG 랜더스,7471,샛별초
박대온,No.12,1995년 08월 28일,포수(우투우타),182cm/85kg,서울도곡초-서울이수중-휘문고-NC,10000만원,3200만원,14 NC 2차 2라운드 25순위,14NC,SSG 랜더스,11091,서울도곡초
박성빈,No.00,2003년 12월 29일,투수(우투우타),187cm/92kg,서울도곡초(강남구리틀)-대치중-휘문고-사이버한국외대(얼리 드래프트),5000만원,3100만원,24 SSG 7라운드 70순위,24SSG,SSG 랜더스,8046,서울도곡초
박성한,No.2,1998년 03월 30일,내야수(우투좌타),180cm/77kg,순천북초-여수중-효천고-SK-상무-SK,9000만원,37000만원,17 SK 2차 2라운드 16순위,17SK,SSG 랜더스,10146,순천북초
박시후,No.57,2001년 05월 10일,투수(좌투좌타),182cm/88kg,상인천초-상인천중-인천고-SK,2000만원,3100만원,20 SK 2차 10라운드 100순위,22SSG,SSG 랜더스,9009,상인천초
박정빈,No.58,2002년 06월 14일,외야수(우투우타),182cm/80kg,효제초-청량중-경기고,5000만원,3000만원,21 SK 2차 5라운드 48순위,,SSG 랜더스,8609,효제초
박종훈,No.50,1991년 08월 13일,투수(우언우타),186cm/90kg,군산중앙초-군산중-군산상고-SK-상무-SK,10000만원,110000만원,10 SK 2라운드 9순위,10SK,SSG 랜더스,12567,군산중앙초
박지환,No.1,2005년 07월 12일,내야수(우투우타),183cm/75kg,군산남초-군산중-세광고,20000만원,6200만원,24 SSG 1라운드 10순위,24SSG,SSG 랜더스,7485,군산남초
백승건,No.11,2000년 10월 29일,투수(좌투좌타),183cm/85kg,동막초-상인천중-인천고-SK-상무,10000만원,3200만원,19 SK 1차,19SK,SSG 랜더스,9202,동막초
백준서,No.69,2005년 09월 26일,외야수(우투우타),181cm/89kg,불정초(분당구리틀)-대원중-덕수고,4000만원,3000만원,24 SSG 8라운드 80순위,,SSG 랜더스,7409,불정초
서진용,No.22,1992년 10월 02일,투수(우투우타),184cm/88kg,남부민초-대동중-경남고-상무-SK,,38000만원,11 SK 1라운드 7순위,13상무,SSG 랜더스,12151,남부민초
석정우,No.52,1999년 01월 20일,내야수(우투우타),180cm/82kg,동일중앙초-경남중-경남고-연세대,,3100만원,22 SSG 육성선수,22SSG,SSG 랜더스,9850,동일중앙초
송영진,No.28,2004년 05월 28일,투수(우투양타),185cm/90kg,대전유천초-한밭중-대전고,15000만원,5500만원,23 SSG 2라운드 15순위,23SSG,SSG 랜더스,7895,대전유천초
신범수,No.25,1998년 01월 25일,포수(우투좌타),177cm/83kg,광주대성초-광주동성중-광주동성고-KIA,4000만원,3200만원,16 KIA 2차 8라운드 78순위,16KIA,SSG 랜더스,10210,광주대성초
신지환,No.60,2006년 04월 17일,투수(좌투좌타),180cm/81kg,강남초-성남중-성남고,12000만원,3000만원,25 SSG 2라운드 18순위,25SSG,SSG 랜더스,7206,강남초
신헌민,No.49,2002년 07월 19일,투수(우투우타),187cm/88kg,학강초-광주동성중-광주동성고,18000만원,3300만원,22 SSG 2차 1라운드 2순위,22SSG,SSG 랜더스,8574,학강초
안상현,No.10,1997년 01월 27일,내야수(우투우타),178cm/74kg,사파초-선린중-용마고-SK-상무,8000만원,3200만원,16 SK 2차 3라운드 26순위,16SK,SSG 랜더스,10573,사파초
안현서,No.48,2004년 10월 16일,투수(좌투좌타),185cm/83kg,영일초-서울신월중-경기고,8000만원,3000만원,23 SSG 4라운드 35순위,,SSG 랜더스,7754,영일초
앤더슨,No.33,1994년 03월 22일,투수(우투우타),194cm/83kg,미국 Galena(고),,1150000달러,24 SSG 자유선발,24SSG,SSG 랜더스,11615,-
에레디아,No.27,1991년 01월 31일,외야수(좌투우타),178cm/88kg,쿠바 Eide Luis Agusto Tursios Lima,,1600000달러,23 SSG 자유선발,23SSG,SSG 랜더스,12761,-
오태곤,No.37,1991년 11월 18일,외야수(우투우타),186cm/88kg,쌍문초-신월중-청원고-롯데-경찰-롯데-KT-SK,9000만원,15000만원,10 롯데 3라운드 22순위,10롯데,SSG 랜더스,12470,쌍문초
이건욱,No.16,1995년 02월 13일,투수(우투우타),182cm/85kg,신도초-동산중-동산고-SK,20000만원,3200만원,14 SK 1차,14SK,SSG 랜더스,11287,신도초
이도우,No.96,2006년 05월 13일,투수(우투우타),191cm/96kg,길동초-배명중-서울컨벤션고,4000만원,3000만원,25 SSG 8라운드 78순위,,SSG 랜더스,7180,길동초
이로운,No.92,2004년 09월 11일,투수(우투우타),185cm/105kg,본리초-경복중-대구고,25000만원,7400만원,23 SSG 1라운드 5순위,23SSG,SSG 랜더스,7789,본리초
이승민,No.9,2005년 01월 06일,외야수(좌투좌타),187cm/90kg,서울도곡초-휘문중-휘문고,13000만원,3000만원,24 SSG 2라운드 20순위,24SSG,SSG 랜더스,7672,서울도곡초
이승훈,No.46,2004년 08월 12일,투수(우투우타),186cm/81kg,서울학동초-건대부중-배재고,4000만원,3000만원,23 SSG 9라운드 85순위,,SSG 랜더스,7819,서울학동초
이원준,No.93,2006년 03월 15일,외야수(좌투우타),181cm/95kg,양정초-부산중-부산고,7000만원,3000만원,25 SSG 5라운드 48순위,,SSG 랜더스,7239,양정초
이율예,No.32,2006년 11월 21일,포수(우투우타),183cm/90kg,중리초(함안리틀)-원동중-강릉고,22000만원,3000만원,25 SSG 1라운드 8순위,25SSG,SSG 랜더스,6988,중리초
이정범,No.31,1998년 04월 10일,외야수(좌투좌타),178cm/88kg,인천숭의초-동인천중-인천고,6000만원,3200만원,17 SK 2차 5라운드 46순위,21SSG,SSG 랜더스,10135,인천숭의초
이지영,No.59,1986년 02월 27일,포수(우투우타),177cm/88kg,서화초-인천신흥중-제물포고-경성대-삼성-상무-삼성-키움,,15000만원,08 삼성 육성선수,09삼성,SSG 랜더스,14560,서화초
임근우,No.68,1999년 07월 22일,외야수(우투우타),180cm/88kg,서울도곡초-휘문중-휘문고-홍익대,,3000만원,22 SSG 육성선수,,SSG 랜더스,9667,서울도곡초
임성준,No.63,2001년 11월 16일,투수(우투우타),183cm/93kg,덕현초(양주리틀)-춘천중-강릉고-강릉영동대,4000만원,3000만원,22 SSG 2차 8라운드 72순위,,SSG 랜더스,8819,덕현초
장지훈,No.21,1998년 12월 06일,투수(우투우타),177cm/78kg,김해삼성초-내동중-김해고-동의대-SK-SSG-상무,6000만원,13000만원,21 SK 2차 4라운드 38순위,21SK,SSG 랜더스,9895,김해삼성초
전영준,No.65,2002년 04월 16일,투수(우투우타),190cm/100kg,부곡초-휘문중-대구고-SSG-상무,3000만원,3200만원,22 SSG 2차 9라운드 82순위,22SSG,SSG 랜더스,8668,부곡초
